Embedding Impedance 1 2001 10	 Ratio Voltage/Bin 0.0100 	 15.43, -12.94 Ohm, 0.000000 A
Embedding Impedance 1 1401 10	 Ratio Voltage/Bin 0.0143 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 1 1201 10	 Ratio Voltage/Bin 0.0167 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 1 1101 10	 Ratio Voltage/Bin 0.0182 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 1 1001 10	 Ratio Voltage/Bin 0.0200 	 15.43, -12.94 Ohm, -0.000000 A
Embedding Impedance 1 0901 10	 Ratio Voltage/Bin 0.0222 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 1 0801 10	 Ratio Voltage/Bin 0.0250 	 15.43, -12.94 Ohm, 0.000000 A
Embedding Impedance 1 0701 10	 Ratio Voltage/Bin 0.0285 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 1 0601 10	 Ratio Voltage/Bin 0.0333 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 1 2001 06	 Ratio Voltage/Bin 0.0060 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 1 1401 06	 Ratio Voltage/Bin 0.0086 	 15.51, -12.88 Ohm, -0.000000 A
Embedding Impedance 1 1201 06	 Ratio Voltage/Bin 0.0100 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 1 1101 06	 Ratio Voltage/Bin 0.0109 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 1 1001 06	 Ratio Voltage/Bin 0.0120 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 1 0901 06	 Ratio Voltage/Bin 0.0133 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 1 0801 06	 Ratio Voltage/Bin 0.0150 	 15.51, -12.88 Ohm, -0.000000 A
Embedding Impedance 1 0701 06	 Ratio Voltage/Bin 0.0171 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 1 0601 06	 Ratio Voltage/Bin 0.0200 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 2 2001 10	 Ratio Voltage/Bin 0.0100 	 15.43, -12.94 Ohm, 0.000000 A
Embedding Impedance 2 1401 10	 Ratio Voltage/Bin 0.0143 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 2 1201 10	 Ratio Voltage/Bin 0.0167 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 2 1101 10	 Ratio Voltage/Bin 0.0182 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 2 1001 10	 Ratio Voltage/Bin 0.0200 	 15.43, -12.94 Ohm, -0.000000 A
Embedding Impedance 2 0901 10	 Ratio Voltage/Bin 0.0222 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 2 0801 10	 Ratio Voltage/Bin 0.0250 	 15.43, -12.94 Ohm, 0.000000 A
Embedding Impedance 2 0701 10	 Ratio Voltage/Bin 0.0285 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 2 0601 10	 Ratio Voltage/Bin 0.0333 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 2 2001 06	 Ratio Voltage/Bin 0.0060 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 2 1401 06	 Ratio Voltage/Bin 0.0086 	 15.51, -12.88 Ohm, -0.000000 A
Embedding Impedance 2 1201 06	 Ratio Voltage/Bin 0.0100 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 2 1101 06	 Ratio Voltage/Bin 0.0109 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 2 1001 06	 Ratio Voltage/Bin 0.0120 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 2 0901 06	 Ratio Voltage/Bin 0.0133 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 2 0801 06	 Ratio Voltage/Bin 0.0150 	 15.51, -12.88 Ohm, -0.000000 A
Embedding Impedance 2 0701 06	 Ratio Voltage/Bin 0.0171 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 2 0601 06	 Ratio Voltage/Bin 0.0200 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 3 2001 10	 Ratio Voltage/Bin 0.0100 	 15.43, -12.94 Ohm, 0.000000 A
Embedding Impedance 3 1401 10	 Ratio Voltage/Bin 0.0143 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 3 1201 10	 Ratio Voltage/Bin 0.0167 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 3 1101 10	 Ratio Voltage/Bin 0.0182 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 3 1001 10	 Ratio Voltage/Bin 0.0200 	 15.43, -12.94 Ohm, -0.000000 A
Embedding Impedance 3 0901 10	 Ratio Voltage/Bin 0.0222 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 3 0801 10	 Ratio Voltage/Bin 0.0250 	 15.43, -12.94 Ohm, 0.000000 A
Embedding Impedance 3 0701 10	 Ratio Voltage/Bin 0.0285 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 3 0601 10	 Ratio Voltage/Bin 0.0333 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 3 2001 06	 Ratio Voltage/Bin 0.0060 	 20.00, -20.00 Ohm, 1.000000 A
Embedding Impedance 3 1401 06	 Ratio Voltage/Bin 0.0086 	 15.51, -12.88 Ohm, -0.000000 A
Embedding Impedance 3 1201 06	 Ratio Voltage/Bin 0.0100 	 20.00, -20.00 Ohm, 1.000000 A
